UniversityName,tuition,patent,score,year
University of Texas--Austin,35766,20,57.71,2013
University of Texas--Austin,35766,45,62.57,2014
University of Texas--Austin,35766,38,61.14,2015
Illinois Institute of Technology,45864,737,45.15,2014
Illinois Institute of Technology,45864,861,44.85,2015
University of Virginia,46975,86,45.2,2012
University of Virginia,46975,63,46.92,2013
University of Virginia,46975,94,58.6,2014
University of Virginia,46975,97,56.73,2015
The Catholic University of America,44060,552,44.58,2014
The Catholic University of America,44060,674,44.2,2015
George Washington University,53518,307,48.48,2014
George Washington University,53518,326,47.46,2015
Case Western Reserve University,47500,101,46.11,2012
Case Western Reserve University,47500,100,51.27,2014
Case Western Reserve University,47500,111,50.28,2015
Princeton University,47140,101,82.5,2012
Princeton University,47140,101,82.17,2013
Princeton University,47140,204,88.56,2014
Princeton University,47140,225,89.42,2015
University of Iowa,28813,115,49.95,2014
University of Iowa,28813,121,49.01,2015
University of Maryland--College Park,33606,101,47.69,2012
University of Maryland--College Park,33606,101,48.39,2013
University of Maryland--College Park,33606,338,53.46,2014
University of Maryland--College Park,33606,280,52.72,2015
Old Dominion University,28200,426,44.68,2014
Old Dominion University,28200,379,44.42,2015
University of Massachusetts--Amherst,33662,373,47.74,2014
University of Massachusetts--Amherst,33662,356,47.05,2015
Michigan State University,39405,128,50.69,2014
Michigan State University,39405,136,49.74,2015
University of Vermont,41356,373,46.2,2014
University of Vermont,41356,397,45.7,2015
Ohio State University--Columbus,29659,54,49.54,2012
Ohio State University--Columbus,29659,60,49.41,2013
Ohio State University--Columbus,29659,38,57.01,2014
Ohio State University--Columbus,29659,44,55.39,2015
Northern Arizona University,24841,552,44.55,2014
Northern Arizona University,24841,609,44.28,2015
Clemson University,35654,737,45.09,2014
Clemson University,35654,510,44.83,2015
Yale University,51400,66,79.14,2012
Yale University,51400,42,78.83,2013
Yale University,51400,45,88.11,2014
Yale University,51400,49,86.61,2015
University of Utah,26408,12,52.64,2012
University of Utah,26408,27,51.14,2013
University of Utah,26408,22,54.67,2014
University of Utah,26408,19,52.89,2015
Northeastern University,49497,115,46.2,2014
Northeastern University,49497,86,46.29,2015
Virginia Commonwealth University,32942,149,47.26,2014
Virginia Commonwealth University,32942,206,46.43,2015
University of Rhode Island,28874,737,44.7,2014
University of Rhode Island,28874,472,44.5,2015
University of Maryland--Baltimore County,25654,280,48.4,2014
University of Maryland--Baltimore County,25654,373,45.1,2014
University of Maryland--Baltimore County,25654,180,48.05,2015
University of Maryland--Baltimore County,25654,423,44.8,2015
Utah State University,20726,307,45.03,2014
Utah State University,20726,371,44.59,2015
University of Arizona,32449,27,50.29,2012
University of Arizona,32449,101,46.39,2013
University of Arizona,32449,307,53.77,2014
University of Arizona,32449,235,53.26,2015
North Dakota State University,20571,737,44.59,2014
University of Dayton,41750,552,44.99,2014
University of Dayton,41750,675,44.99,2015
University of Nevada--Las Vegas,21498,737,44.67,2014
University of Nevada--Las Vegas,21498,861,44.38,2015
Massachusetts Institute of Technology,49892,1,91.67,2012
Massachusetts Institute of Technology,49892,1,91.45,2013
Massachusetts Institute of Technology,49892,1,98.69,2014
Massachusetts Institute of Technology,49892,1,97.54,2015
Kansas State University,24775,259,46.2,2014
Kansas State University,24775,294,45.47,2015
University of Notre Dame,51505,307,54.25,2014
University of Notre Dame,51505,352,52.27,2015
University of Minnesota--Twin Cities,26603,84,50.3,2012
University of Minnesota--Twin Cities,26603,67,50.98,2013
University of Minnesota--Twin Cities,26603,68,56.13,2014
University of Minnesota--Twin Cities,26603,59,55.51,2015
University of Texas--El Paso,21396,737,44.45,2014
University of Texas--El Paso,21396,706,44.1,2015
Carnegie Mellon University,53910,101,51.6,2012
Carnegie Mellon University,53910,101,49.56,2013
Carnegie Mellon University,53910,170,55.3,2014
Carnegie Mellon University,53910,165,54,2015
University of Kansas,26592,194,47.82,2014
University of Kansas,26592,127,47.52,2015
New Jersey Institute of Technology,31034,426,44.69,2014
New Jersey Institute of Technology,31034,391,44.28,2015
Northwestern University,52678,35,54.4,2012
Northwestern University,52678,30,56.12,2013
Northwestern University,52678,61,66.18,2014
Northwestern University,52678,42,66.56,2015
Rensselaer Polytechnic Institute,52305,138,47.2,2014
Rensselaer Polytechnic Institute,52305,210,46.19,2015
University of California--Berkeley,42112,16,78.55,2012
University of California--Berkeley,42112,19,85.07,2013
University of California--Berkeley,42112,28,92.84,2014
University of California--Berkeley,42112,29,92.25,2015
University of South Carolina,32362,649,45.95,2015
University of Texas--Arlington,25152,637,44.67,2014
University of Texas--Arlington,25152,462,44.47,2015
University of Oregon,34611,637,45.89,2014
University of Oregon,34611,729,45.55,2015
University of Alabama--Birmingham,23790,194,48.88,2014
University of Alabama--Birmingham,23790,130,48.79,2015
Bowling Green State University,18593,737,44.54,2014
Bowling Green State University,18593,824,44.23,2015
Ohio University,21360,280,45.25,2014
Ohio University,21360,224,44.91,2015
University of Delaware,32250,76,47.16,2014
University of Delaware,32250,120,46.21,2015
Auburn University,29640,373,44.96,2014
Auburn University,29640,425,44.63,2015
San Francisco State University,19134,737,44.62,2014
San Francisco State University,19134,871,44.35,2015
Florida State University,21673,338,46.98,2014
Florida State University,21673,411,46.53,2015
University of Chicago,54825,101,73.82,2012
University of Chicago,54825,101,79.16,2013
University of Chicago,54825,149,92.03,2014
University of Chicago,54825,141,90.7,2015
Colorado State University,29140,259,46.88,2014
Indiana University--Bloomington,34845,101,45.71,2013
Indiana University--Bloomington,34845,204,50.53,2014
Indiana University--Bloomington,34845,178,50.26,2015
Cornell University,52853,10,73.69,2012
Cornell University,52853,7,76.99,2013
Cornell University,52853,12,85.8,2014
Cornell University,52853,11,86.79,2015
Georgia State University,29432,426,45.07,2014
Georgia State University,29432,360,44.74,2015
Montana State University,23042,637,44.98,2014
Duke University,53744,20,58.37,2012
Duke University,53744,24,57.72,2013
Duke University,53744,42,63.56,2014
Duke University,53744,33,61.55,2015
Tufts University,54318,101,44.91,2012
Tufts University,54318,84,52.71,2014
