displayName,sat,act,state,lat,lng,rank,hsGPA,acceptRate,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,control
American International College,790,16,MA,42.11,-72.53,-1,None,64,None,None,None,33140,1424,None,None,private
Augusta University,930,None,GA,33.45,-81.99,-1,None,74,None,None,None,23606,5133,None,None,public
Barry University,850,18,FL,25.77,-80.2,-1,None,62,None,2.0,None,29700,3541,None,None,private
Boise State University,910,20,ID,43.6,-116.2,-1,3.4,82,None,2.5,2.2,22642,20209,None,None,public
Cardinal Stritch University,973,18,WI,43.06,-87.96,-1,3.1,82,None,None,None,28844,1534,None,None,private
Clark Atlanta University,820,18,GA,33.75,-84.42,-1,3.2,72,None,None,None,23082,3093,None,None,private
Cleveland State University,890,19,OH,41.47,-81.67,-1,3.3,88,None,2.2,2.1,13848,12433,None,None,public
Eastern Michigan University,910,19,MI,42.24,-83.62,-1,3.3,73,None,2.2,None,11530,17541,None,None,public
East Tennessee State University,920,20,TN,36.33,-82.36,-1,3.5,80,None,2.1,None,26463,11065,None,None,public
Florida Atlantic University,950,20,FL,26.37,-80.1,-1,4,60,None,2.4,None,21595,25402,None,None,public
Georgia Southern University,1030,22,GA,32.44,-81.77,-1,3.3,65,None,2.3,2.4,18692,18005,None,None,public
Grand Canyon University,None,None,AZ,33.5,-112.12,-1,None,43,None,None,None,17050,None,None,None,proprietary
Indiana State University,790,16,IN,39.47,-87.38,-1,3.1,86,None,2.4,None,19454,11202,None,None,public
Indiana University of Pennsylvania,840,None,PA,40.62,-79.15,-1,None,92,None,2.1,None,15882,10618,None,None,public
Jackson State University,810,16,MS,32.32,-90.2,-1,2.9,69,None,None,None,17614,7492,None,None,public
Kennesaw State University,1000,21,GA,34.02,-84.61,-1,3.3,59,None,2.7,2.4,21158,32166,None,None,public
Lamar University,860,18,TX,30.08,-94.14,-1,3.2,76,None,2.0,None,22561,9326,None,None,public
Liberty University,950,21,VA,37.4,-79.19,-1,3.5,28,None,None,2.2,24304,47050,None,None,private
Lindenwood University,920,20,MO,38.79,-90.51,-1,3.3,55,None,None,None,16960,7549,None,None,private
Middle Tennessee State University,950,19,TN,35.85,-86.39,-1,3.4,69,None,2.2,None,27578,19693,None,None,public
Morgan State University,800,16,MD,39.3,-76.61,-1,3,60,None,2.0,None,17833,6362,None,None,public
National Louis University,None,None,IL,41.83,-87.68,-1,None,81,None,None,None,10380,None,None,None,private
North Carolina A&T State University,850,18,NC,36.07,-79.82,-1,3.5,54,None,None,2.2,19416,9668,None,None,public
Northern Arizona University,940,20,AZ,35.18,-111.62,-1,3.6,78,None,2.5,2.8,24841,26506,None,None,public
Northern Illinois University,None,19,IL,41.89,-88.75,-1,3.3,52,None,2.6,2.7,23817,14079,None,None,public
Oakland University,805,20,MI,42.68,-83.12,-1,3.4,86,None,2.0,None,24735,16568,None,None,public
Old Dominion University,890,18,VA,36.84,-76.28,-1,3.3,85,None,2.5,2.2,28200,19793,None,None,public
Portland State University,930,19,OR,45.52,-122.68,-1,3.4,89,None,2.5,2.2,21180,21633,None,None,public
Prairie View A&M University,750,15,TX,30.08,-95.98,-1,3,85,None,None,None,10059,7455,None,None,public
Regent University,920,19,VA,36.73,-76.04,-1,3.5,83,None,None,None,17450,3806,None,None,private
Sam Houston State University,870,19,TX,30.71,-95.54,-1,None,72,None,2.1,None,22340,17902,None,None,public
San Francisco State University,860,18,CA,37.72,-122.48,-1,3.2,68,None,2.5,2.6,19134,25945,None,None,public
Spalding University,None,18,KY,38.22,-85.74,-1,None,50,None,None,None,24388,None,None,None,private
Tennessee State University,788,16,TN,36.17,-86.78,-1,2.9,53,None,2.0,None,20178,7007,None,None,public
Tennessee Technological University,960,21,TN,36.15,-85.5,-1,3.6,67,None,None,2.1,26190,9437,None,None,public
Texas A&M University--Commerce,850,17,TX,33.23,-95.9,-1,3.3,45,None,2.1,2.2,20884,7605,None,None,public
Texas A&M University--Corpus Christi,850,17,TX,27.8,-97.39,-1,3.3,86,None,2.2,2.5,26061,10212,None,None,public
Texas A&M University--Kingsville,850,17,TX,27.5,-97.86,-1,3.3,82,None,None,None,20912,6811,None,None,public
Texas Southern University,715,15,TX,29.76,-95.38,-1,2.9,51,None,2.1,None,21240,6562,None,None,public
Texas State University,930,20,TX,29.88,-97.92,-1,None,71,None,2.2,None,23071,34244,None,None,public
Texas Woman's University,820,17,TX,33.21,-97.13,-1,3.1,86,None,None,None,21816,10408,None,None,public
Trevecca Nazarene University,930,19,TN,36.17,-86.78,-1,3.4,72,None,None,None,25100,2092,None,None,private
Trinity International University,880,19,IL,42.16,-87.84,-1,3.2,88,None,None,None,30750,1076,None,None,private
University of Akron,910,19,OH,41.08,-81.52,-1,3.3,96,None,2.3,2.1,21863,17416,None,None,public
University of Arkansas--Little Rock,930,19,AR,34.72,-92.35,-1,3.1,77,None,2.5,2.0,19797,9374,None,None,public
University of Louisiana--Lafayette,940,21,LA,30.21,-92.02,-1,3.3,52,None,2.3,None,23074,15998,None,None,public
University of Louisiana--Monroe,920,19,LA,32.51,-92.08,-1,3.5,86,None,2.0,None,20381,7778,None,None,public
University of Maryland--Eastern Shore,790,17,MD,38.2,-75.69,-1,2.9,38,None,2.0,2.4,18048,3278,None,None,public
